RowNum,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Species2
108,6.7,2.5,5.8,1.8,virginica,virginica
109,7.2,3.6,6.1,2.5,virginica,virginica
110,6.5,3.2,5.1,2,virginica,virginica
111,6.4,2.7,5.3,1.9,virginica,virginica
112,6.8,3,5.5,2.1,virginica,virginica
113,5.7,2.5,5,2,virginica,virginica
114,5.8,2.8,5.1,2.4,virginica,virginica
115,6.4,3.2,5.3,2.3,virginica,virginica
116,6.5,3,5.5,1.8,virginica,virginica
117,7.7,3.8,6.7,2.2,virginica,virginica
118,7.7,2.6,6.9,2.3,virginica,virginica
119,6,2.2,5,1.5,virginica,virginica
120,6.9,3.2,5.7,2.3,virginica,virginica
121,5.6,2.8,4.9,2,virginica,virginica
122,7.7,2.8,6.7,2,virginica,virginica
123,6.3,2.7,4.9,1.8,virginica,virginica
124,6.7,3.3,5.7,2.1,virginica,virginica
125,7.2,3.2,6,1.8,virginica,virginica
126,6.2,2.8,4.8,1.8,virginica,virginica
127,6.1,3,4.9,1.8,virginica,virginica
128,6.4,2.8,5.6,2.1,virginica,virginica
129,7.2,3,5.8,1.6,virginica,virginica
130,7.4,2.8,6.1,1.9,virginica,virginica
131,7.9,,6.4,2,virginica,virginica
132,6.4,,5.6,2.2,virginica,virginica
133,6.3,2.8,5.1,1.5,virginica,virginica
134,6.1,2.6,5.6,1.4,virginica,virginica
135,7.7,3,6.1,2.3,virginica,virginica
136,6.3,3.4,5.6,2.4,virginica,virginica
137,6.4,3.1,5.5,1.8,virginica,virginica
138,6,3,4.8,1.8,virginica,virginica
139,6.9,3.1,5.4,2.1,virginica,virginica
140,6.7,3.1,5.6,2.4,virginica,virginica
141,6.9,3.1,5.1,2.3,virginica,virginica
142,5.8,2.7,5.1,1.9,virginica,virginica
143,6.8,,5.9,2.3,virginica,virginica
144,6.7,3.3,5.7,2.5,virginica,virginica
145,6.7,3,5.2,2.3,virginica,virginica
145,6.7,3,5.2,2.3,virginica,virginica
147,6.3,,5,1.9,virginica,virginica
148,6.5,,5.2,2,virginica,virginica
149,T,3.4,5.4,2.3,virginica,virginica
150,5.9,3,1000,1.8,virginica,virginica
